"Date","NAME","FinYear","RelSurfaceArea"
1980-01-01,"Australian Capital Territory","1980",0.17015482495611
1980-01-01,"New South Wales","1980",0.186984943352781
1980-01-01,"Northern Territory","1980",0.17068205527518
1980-01-01,"Other Territories","1980",0.51084791786974
1980-01-01,"Queensland","1980",0.366996575345182
1980-01-01,"South Australia","1980",0.3288129279612
1980-01-01,"Tasmania","1980",0.406643140773834
1980-01-01,"Victoria","1980",0.340206891340816
1980-01-01,"Western Australia","1980",0.247328419588207
1980-01-01,NA,"1980",0.347503903555604
1980-02-01,"Australian Capital Territory","1980",0.279284225521083
1980-02-01,"New South Wales","1980",0.254981296825461
1980-02-01,"Northern Territory","1980",0.163794255205366
1980-02-01,"Other Territories","1980",0.521204431224298
1980-02-01,"Queensland","1980",0.395815656806307
1980-02-01,"South Australia","1980",0.291505805606296
1980-02-01,"Tasmania","1980",0.394413997670614
1980-02-01,"Victoria","1980",0.335794114641646
1980-02-01,"Western Australia","1980",0.217603003104516
1980-02-01,NA,"1980",0.326433501095461
1980-03-01,"Australian Capital Territory","1980",0.182151881178164
1980-03-01,"New South Wales","1980",0.25762526372793
1980-03-01,"Northern Territory","1980",0.231223818699217
1980-03-01,"Other Territories","1980",0.514360203276228
1980-03-01,"Queensland","1980",0.39318466799752
1980-03-01,"South Australia","1980",0.220726548611943
1980-03-01,"Tasmania","1980",0.385704393469522
1980-03-01,"Victoria","1980",0.3258206529034
1980-03-01,"Western Australia","1980",0.191530877180805
1980-03-01,NA,"1980",0.346079162737607
1980-04-01,"Australian Capital Territory","1980",0.0754674514152736
1980-04-01,"New South Wales","1980",0.180948302236605
1980-04-01,"Northern Territory","1980",0.175773340351982
1980-04-01,"Other Territories","1980",0.505080778949448
1980-04-01,"Queensland","1980",0.329655501545662
1980-04-01,"South Australia","1980",0.229664510496186
1980-04-01,"Tasmania","1980",0.380292670256296
1980-04-01,"Victoria","1980",0.30583087798432
1980-04-01,"Western Australia","1980",0.161962538767708
1980-04-01,NA,"1980",0.320046734844863
1980-05-01,"Australian Capital Territory","1980",0.13666565836894
1980-05-01,"New South Wales","1980",0.210778524869403
1980-05-01,"Northern Territory","1980",0.202596246623851
1980-05-01,"Other Territories","1980",0.468705184736388
1980-05-01,"Queensland","1980",0.345144603982404
1980-05-01,"South Australia","1980",0.236339399663575
1980-05-01,"Tasmania","1980",0.41280084525044
1980-05-01,"Victoria","1980",0.33101875288996
1980-05-01,"Western Australia","1980",0.188348927167168
1980-05-01,NA,"1980",0.33919976807981
1980-06-01,"Australian Capital Territory","1980",0.233928896179865
1980-06-01,"New South Wales","1980",0.285960980151938
1980-06-01,"Northern Territory","1980",0.320571309999297
1980-06-01,"Other Territories","1980",0.558338586957915
1980-06-01,"Queensland","1980",0.337166587584601
1980-06-01,"South Australia","1980",0.240758027289487
1980-06-01,"Tasmania","1980",0.41831752582313
1980-06-01,"Victoria","1980",0.365767150243324
1980-06-01,"Western Australia","1980",0.223241365643836
1980-06-01,NA,"1980",0.349770671448025
1980-07-01,"Australian Capital Territory","1981",0.166784456055694
1980-07-01,"New South Wales","1981",0.236221592721609
1980-07-01,"Northern Territory","1981",0.144073991751387
1980-07-01,"Other Territories","1981",0.520287259559691
1980-07-01,"Queensland","1981",0.335076514643533
1980-07-01,"South Australia","1981",0.253653301290405
1980-07-01,"Tasmania","1981",0.424902713423801
1980-07-01,"Victoria","1981",0.324293954113766
1980-07-01,"Western Australia","1981",0.258366995634263
1980-07-01,NA,"1981",0.390897858704487
1980-08-01,"Australian Capital Territory","1981",0.262814406123103
1980-08-01,"New South Wales","1981",0.294567947701064
1980-08-01,"Northern Territory","1981",0.113485925648432
1980-08-01,"Other Territories","1981",0.514203631032724
1980-08-01,"Queensland","1981",0.320893772833557
1980-08-01,"South Australia","1981",0.306588898922173
1980-08-01,"Tasmania","1981",0.415365093166801
1980-08-01,"Victoria","1981",0.412190032024197
1980-08-01,"Western Australia","1981",0.289796629978307
1980-08-01,NA,"1981",0.396926921126425
1980-09-01,"Australian Capital Territory","1981",0.168043277962689
1980-09-01,"New South Wales","1981",0.187459198596164
1980-09-01,"Northern Territory","1981",0.0900175012023441
1980-09-01,"Other Territories","1981",0.487570848295928
1980-09-01,"Queensland","1981",0.274720569297573
1980-09-01,"South Australia","1981",0.288296567471367
1980-09-01,"Tasmania","1981",0.441473099050273
1980-09-01,"Victoria","1981",0.358429259248911
1980-09-01,"Western Australia","1981",0.33943390943771
1980-09-01,NA,"1981",0.395077542186501
1980-10-01,"Australian Capital Territory","1981",0.307186707080459
1980-10-01,"New South Wales","1981",0.224913289033963
1980-10-01,"Northern Territory","1981",0.0712836601216314
1980-10-01,"Other Territories","1981",0.487690037409832
1980-10-01,"Queensland","1981",0.220492243613012
1980-10-01,"South Australia","1981",0.291241875815267
1980-10-01,"Tasmania","1981",0.466357238198273
1980-10-01,"Victoria","1981",0.414178594164429
1980-10-01,"Western Australia","1981",0.248108468281672
1980-10-01,NA,"1981",0.399763986153252
1980-11-01,"Australian Capital Territory","1981",0.113544657527296
1980-11-01,"New South Wales","1981",0.147953997697366
1980-11-01,"Northern Territory","1981",0.151880393143063
1980-11-01,"Other Territories","1981",0.454100279094862
1980-11-01,"Queensland","1981",0.288231967988427
1980-11-01,"South Australia","1981",0.32112280754725
1980-11-01,"Tasmania","1981",0.494989825626294
1980-11-01,"Victoria","1981",0.40661959578356
1980-11-01,"Western Australia","1981",0.280514656048815
1980-11-01,NA,"1981",0.415351974178992
1980-12-01,"Australian Capital Territory","1981",0.194021487161938
1980-12-01,"New South Wales","1981",0.174285503593699
1980-12-01,"Northern Territory","1981",0.0568706574717891
1980-12-01,"Other Territories","1981",0.488771849612064
1980-12-01,"Queensland","1981",0.267816957248765
1980-12-01,"South Australia","1981",0.282367301984116
1980-12-01,"Tasmania","1981",0.454602946975511
1980-12-01,"Victoria","1981",0.392086757389335
1980-12-01,"Western Australia","1981",0.267634968684345
1980-12-01,NA,"1981",0.388906242881879
1981-01-01,"Australian Capital Territory","1981",0.400388401547968
1981-01-01,"New South Wales","1981",0.249710381160306
1981-01-01,"Northern Territory","1981",0.112491692773469
1981-01-01,"Other Territories","1981",0.456314002313882
1981-01-01,"Queensland","1981",0.313915591646774
1981-01-01,"South Australia","1981",0.238994486439502
1981-01-01,"Tasmania","1981",0.419891209383333
1981-01-01,"Victoria","1981",0.368706248038772
1981-01-01,"Western Australia","1981",0.238108956607111
1981-01-01,NA,"1981",0.369487603259443
1981-02-01,"Australian Capital Territory","1981",0.299073887863291
1981-02-01,"New South Wales","1981",0.238045609697738
1981-02-01,"Northern Territory","1981",0.169351497715003
1981-02-01,"Other Territories","1981",0.47374928458305
1981-02-01,"Queensland","1981",0.338701406283971
1981-02-01,"South Australia","1981",0.236702959085018
1981-02-01,"Tasmania","1981",0.41371962690114
1981-02-01,"Victoria","1981",0.377998302883483
1981-02-01,"Western Australia","1981",0.235868912881069
1981-02-01,NA,"1981",0.349598098373712
1981-03-01,"Australian Capital Territory","1981",0.397927922655061
1981-03-01,"New South Wales","1981",0.224878888221564
1981-03-01,"Northern Territory","1981",0.165004443057128
1981-03-01,"Other Territories","1981",0.43965461278113
1981-03-01,"Queensland","1981",0.37445648320905
1981-03-01,"South Australia","1981",0.24511997972502
1981-03-01,"Tasmania","1981",0.406385641075173
1981-03-01,"Victoria","1981",0.35576823068911
1981-03-01,"Western Australia","1981",0.230204166822095
1981-03-01,NA,"1981",0.370218823620716
1981-04-01,"Australian Capital Territory","1981",0.340320531616111
1981-04-01,"New South Wales","1981",0.219573186474172
1981-04-01,"Northern Territory","1981",0.186053089415125
1981-04-01,"Other Territories","1981",0.513810462185579
1981-04-01,"Queensland","1981",0.342818487998958
1981-04-01,"South Australia","1981",0.225422450020991
1981-04-01,"Tasmania","1981",0.409420464868931
1981-04-01,"Victoria","1981",0.333918364924201
1981-04-01,"Western Australia","1981",0.207859143608675
1981-04-01,NA,"1981",0.36036454601565
1981-05-01,"Australian Capital Territory","1981",0.375766176310124
1981-05-01,"New South Wales","1981",0.233911764292841
1981-05-01,"Northern Territory","1981",0.168170576419018
1981-05-01,"Other Territories","1981",0.488535678474657
1981-05-01,"Queensland","1981",0.325763679203337
1981-05-01,"South Australia","1981",0.265936744675493
1981-05-01,"Tasmania","1981",0.424191067752697
1981-05-01,"Victoria","1981",0.371700045965591
1981-05-01,"Western Australia","1981",0.240220831385002
1981-05-01,NA,"1981",0.37229772114404
1981-06-01,"Australian Capital Territory","1981",0.459532152036431
1981-06-01,"New South Wales","1981",0.27142510617127
1981-06-01,"Northern Territory","1981",0.235897802199668
1981-06-01,"Other Territories","1981",0.533231084232443
1981-06-01,"Queensland","1981",0.33909704141731
1981-06-01,"South Australia","1981",0.293479533632966
1981-06-01,"Tasmania","1981",0.446686846838851
1981-06-01,"Victoria","1981",0.396760019191848
1981-06-01,"Western Australia","1981",0.260015628656655
1981-06-01,NA,"1981",0.399357593040837
1981-07-01,"Australian Capital Territory","1982",0.478639084386343
1981-07-01,"New South Wales","1982",0.331681288502843
1981-07-01,"Northern Territory","1982",0.161173977139585
1981-07-01,"Other Territories","1982",0.539758547600675
1981-07-01,"Queensland","1982",0.359567583620161
1981-07-01,"South Australia","1982",0.368738611397978
1981-07-01,"Tasmania","1982",0.442321309588939
1981-07-01,"Victoria","1982",0.442760184743695
1981-07-01,"Western Australia","1982",0.354472375398172
1981-07-01,NA,"1982",0.444098984903505
1981-08-01,"Australian Capital Territory","1982",0.535489032186591
1981-08-01,"New South Wales","1982",0.303054042925121
1981-08-01,"Northern Territory","1982",0.222960042296337
1981-08-01,"Other Territories","1982",0.468129934594862
1981-08-01,"Queensland","1982",0.325791673652674
1981-08-01,"South Australia","1982",0.409468747707175
1981-08-01,"Tasmania","1982",0.483715988124455
1981-08-01,"Victoria","1982",0.473344495817825
1981-08-01,"Western Australia","1982",0.352394130517012
1981-08-01,NA,"1982",0.442964330827886
1981-09-01,"Australian Capital Territory","1982",0.582157951717582
1981-09-01,"New South Wales","1982",0.315550654689601
1981-09-01,"Northern Territory","1982",0.133452323658564
1981-09-01,"Other Territories","1982",0.496115404818536
1981-09-01,"Queensland","1982",0.302785312723827
1981-09-01,"South Australia","1982",0.396418271554317
