FinYear,Total Rainfall
1901,408.45
1902,298.17
1903,433.71
1904,552.85
1905,396.83
1906,366.37
1907,512.06
1908,495.02
1909,413.57
1910,510.45
1911,477.1
1912,407.23
1913,455.51
1914,389.12
1915,404.53
1916,406.81
1917,595.49
1918,572.96
1919,348.06
1920,384.94
1921,626.66
1922,428.32
1923,423.02
1924,379.54
1925,493.96
1926,375.3
1927,418.08
1928,390.11
1929,386.73
1930,401.98
1931,484.4
1932,382.8
1933,387.17
1934,493.29
1935,379.04
1936,389.42
1937,406.22
1938,364.74
1939,458.42
1940,445.49
1941,451.45
1942,465.69
1943,446.68
1944,387.33
1945,393.05
1946,434.17
1947,412.86
1948,468.5
1949,421.66
1950,547.53
1951,536.74
1952,325.47
1953,442.16
1954,426.52
1955,574.16
1956,580.83
1957,453.29
1958,378.35
1959,440.08
1960,443.74
1961,363.45
1962,419.77
1963,505.92
1964,362.89
1965,371.06
1966,394.6
1967,484.99
1968,511.1
1969,404.91
1970,349.51
1971,478.02
1972,429.93
1973,471.38
1974,831.87
1975,523.65
1976,642.46
1977,504.15
1978,425.56
1979,538.37
1980,435.08
1981,481.21
1982,488.41
1983,419.06
1984,525.61
1985,414.79
1986,385.63
1987,466.18
1988,404.56
1989,554.48
1990,422.62
1991,461.43
1992,385.88
1993,473.41
1994,432.95
1995,454.73
1996,436.52
1997,534.62
1998,460.6
1999,614.21
2000,685.89
2001,601.73
2002,436.15
2003,384.86
2004,517.86
2005,359.43
2006,555.52
2007,443.95
2008,427.68
2009,515.26
2010,493.34
2011,810.55
2012,564.56
2013,410.89
2014,468.81
2015,415.73
2016,452.94
2017,579.76
2018,432.5
2019,346.93
2020,346.51
2021,513.27
2022,509.1
2023,612.03
